# Data taken on 2022-08-09_191857
# Amplifier AM Modulation Voltage: 3.25 V
# RF Freq/MHz	RF Input/dBm	Power/uW	Dev/uW
75.0	0.0	510.72300500000006	0.9839432241284721
75.0	-0.5	499.0348223333333	0.8410603486678095
75.0	-1.0	482.63583	1.4912024413539564
75.0	-1.5	464.73152933333336	1.253700427723022
75.0	-2.0	442.1730876666666	1.2501792855351668
75.0	-2.5	417.2447016666667	0.9272005460869233
75.0	-3.0	389.29868466666665	0.9737159017041639
75.0	-3.5	365.722354	0.8874184045217905
75.0	-4.0	339.91099433333335	0.4759577344343602
75.0	-4.5	313.54580500000003	0.6223027963205152
75.0	-5.0	286.6908493333333	0.7136096481734422
75.0	-5.5	262.844194	0.8106084700379932
75.0	-6.0	240.28424666666666	0.8025009008233078
75.0	-6.5	218.7539096666667	0.5318449637879021
75.0	-7.0	197.64176566666669	0.5188923941960955
75.0	-7.5	179.75036133333333	0.680459873496023
75.0	-8.0	161.85402066666668	0.35122003298913457
75.0	-8.5	145.45421499999998	0.4313943950821952
75.0	-9.0	131.28018500000002	0.36919352031376323
75.0	-9.5	118.559906	0.23311532302846746
75.0	-10.0	106.40900966666666	0.162946165670002
75.5	0.0	509.34339500000004	1.1273935463307982
75.5	-0.5	497.7374106666667	1.1788916127813582
75.5	-1.0	477.1253383333334	0.9887398315687275
75.5	-1.5	458.277649	1.9657785290139727
75.5	-2.0	434.598607	1.4543419164296716
75.5	-2.5	408.27588999999995	0.9567125147608353
75.5	-3.0	384.7663966666667	1.0880126163433153
75.5	-3.5	358.417336	1.0432419229357457
75.5	-4.0	331.43506766666667	1.437796492700282
75.5	-4.5	305.826418	0.622021964732223
75.5	-5.0	278.280786	0.4954106285402698
75.5	-5.5	255.10438999999997	0.9820454849785026
75.5	-6.0	232.98295933333335	0.6237226149068362
75.5	-6.5	212.27845	0.4921256887218944
75.5	-7.0	192.93171099999998	0.705931729096847
75.5	-7.5	175.05207433333334	0.46833082197084913
75.5	-8.0	157.07660366666667	0.3993905748177126
75.5	-8.5	142.12681666666668	0.413913799869275
75.5	-9.0	128.14380133333333	0.3525491528825775
75.5	-9.5	115.32218933333333	0.19472000450104973
75.5	-10.0	103.81747833333336	0.37547684908289936
76.0	0.0	501.3538133333334	2.0481160368711766
76.0	-0.5	489.1104003333333	1.1086864832163128
76.0	-1.0	470.5975816666666	1.3356580745075526
76.0	-1.5	451.005786	1.1036575710808154
76.0	-2.0	427.41526366666665	1.0147525909369366
76.0	-2.5	402.987841	0.5801818275785044
76.0	-3.0	379.6055336666666	0.6765533599551163
76.0	-3.5	354.327558	0.6664294566088765
76.0	-4.0	326.1641216666667	0.5951994278087684
76.0	-4.5	301.5432246666667	0.9131350306452798
76.0	-5.0	276.8565886666667	0.5727322016482808
76.0	-5.5	253.964634	0.7194579867585494
76.0	-6.0	232.89416466666668	0.6474159998678507
76.0	-6.5	212.14396233333338	0.4024627820240721
76.0	-7.0	191.41911366666668	0.4085775194662835
76.0	-7.5	173.64713166666667	0.6433699663987161
76.0	-8.0	156.81084066666668	0.20586281827037897
76.0	-8.5	141.990398	0.30756946141644
76.0	-9.0	128.38577733333332	0.2161687606621756
76.0	-9.5	116.15889366666669	0.35411982015492366
76.0	-10.0	104.31853866666668	0.1881956141134948
76.5	0.0	500.22621033333337	2.0082796107016336
76.5	-0.5	488.495125	1.1031455528208103
76.5	-1.0	470.00073266666664	0.8454606751348964
76.5	-1.5	451.1255363333333	1.2060230868491786
76.5	-2.0	427.43078733333334	0.8739168252411412
76.5	-2.5	403.0242486666666	0.646398363883726
76.5	-3.0	377.63970066666667	0.6644300382530051
76.5	-3.5	351.7226873333333	0.5554116025431557
76.5	-4.0	324.14881933333334	0.3645628771001728
76.5	-4.5	300.5646946666667	0.2660312790598561
76.5	-5.0	277.03845033333334	0.9144826305257093
76.5	-5.5	255.5846623333333	0.27339445187229966
76.5	-6.0	232.80125833333335	0.5643720512781328
76.5	-6.5	211.35890933333337	0.25168124770475436
76.5	-7.0	190.88155099999997	0.2404638255517867
76.5	-7.5	173.534337	0.30280151711035797
76.5	-8.0	156.19667266666667	0.13544957063875213
76.5	-8.5	141.00230833333333	0.11412327514821351
76.5	-9.0	127.12741366666665	0.1977590534292232
76.5	-9.5	114.68728466666668	0.1197410050827293
76.5	-10.0	103.02250799999999	0.1937954951385608
77.0	0.0	497.868404	1.0628847592522324
77.0	-0.5	487.0475833333333	1.4215924759656735
77.0	-1.0	472.506956	1.2733758568194502
77.0	-1.5	452.192549	0.7449634207567969
77.0	-2.0	428.293141	0.48015378347532034
77.0	-2.5	405.645722	0.5179117254732376
77.0	-3.0	378.6618236666667	0.5357073310803401
77.0	-3.5	353.105103	0.4550962027135964
77.0	-4.0	326.17356333333333	0.6392029119579732
77.0	-4.5	301.91292699999997	0.6149918538791141
77.0	-5.0	277.7544473333333	0.5696371984806553
